# for hus9h



  5.017.054 .laqAd*kafarAllaḏiinaqAAluuʼinNNNnALLAAhahuwalmasiiḥub*numaryam.
  5.017.055 .qulfamayYYYyamlikuminALLAAhišayʼanʼinʼarAAdaʼayYYYyuhlikalmasiiḥab*namaryamawaʼumNNNmahuuwamamNNNfilʼarḍiǧamiiʻaa.
  5.017.056 .walillaahimulkussamaawaatiwalʼarḍiwamaabaynahumaa.
  5.017.057 .yaḫluqumaayašaaaaaaʼ.
  5.017.058 .wALLAAhuʻalaakullišayʼinNNNqAdiiir.
  5.018.059 .waqAAlatilyahuuduwanNNNnaṣAArAAnaḥnuʼab*naaaaaaʼuLLAAhiwaʼaḥibbaaaaaaʼuh.
  5.018.060 .qulfalimayuʻaḏḏibukumNNNbiḏunuubikumNNNbalʼanNNNtumNNNbašarumNNNmimNNNmanḫAlaq.
  5.018.061 .yaġfirulimayYYYyašaaaaaaʼuwayuʻaḏḏibumayYYYyašaaaaaaʼ.
  5.018.062 .walillaahimulkussamaawaatiwalʼarḍiwamaabaynahumaawaʼilayhilmaṣiiir.
  5.019.063 .yaaʼahlalkitaabiqAd*ǧaaaaaaʼakumrAsuulunaayubayyinulakumʻalaafatrAtimNNNminarrusuliʼanNNNtaquuluu.
  5.019.064 .ʼanNNNtaquuluumaaǧaaaaaaʼanaamimNNNbašiiriwWWWwalaanaḏiirimNNNfaqAd*ǧaaaaaaʼakumNNNbašiiruwWWWwanaḏiiir.
  5.019.065 .wALLAAhuʻalaakullišayʼinNNNqAdiiir.
  5.020.066 .waʼiḏqAAlamuusaaliqAwmihiiyaaqAwmiḏkuruuniʻmatALLAAhiʻalaykumʼiḏǧaʻalafiikumʼamNNNbiyaaaaaaʼawaǧaʻalakumNNNmuluukaa.
  5.020.067 .waǧaʻalakumNNNmuluukawWWWwaʼaataakumNNNmaalamyuʼtiʼaḥadamNNNminalʻaalamiiin.
  5.021.068 .yaaqAwmid*ḫululʼarḍAlmuqAdasatallatiikatabALLAAhulakumwalaatartaduuʻalaaʼad*baarikumfatanNNNqAlibuuḫAAsiriiin.
  5.022.069 .qAAluuyaamuusaaʼinNNNnafiihaaqAwmanNNNǧabbaariinawaʼinNNNnaalanNNNnad*ḫulahaaḥattaayaḫruǧuuminhaafaʼiyYYYyaḫruǧuuminhaafaʼinNNNnaadaaḫiluuun.
  5.023.070 .qAAlarAǧulaaniminallaḏiinayaḫAAfuunaʼanʻamaLLAAhuʻalayhimad*ḫuluuʻalayhimulbaabafaʼiḏaadaḫAltumuuhufaʼinNNNnakumġAAlibuuun.
  5.023.071 .waʻalaLLAAhifatawakkaluuʼinNNNkunNNNtumNNNmuʼminiiin.
  5.024.072 .qAAluuyaamuusaaʼinNNNnaalanNNNnad*ḫulahaaʼabadamNNNmaadaamuufiihaafaḏhab*ʼanNNNtawarAbbukafaqAAtilaaʼinNNNnaahaahunaaqAAʻiduuun.
  5.025.073 .qAAlarAbbiʼinNNNniilaaʼamlikuʼillaanafsiiwaʼaḫiifafruqbaynanaawabaynalqAwmilfaasiqiiin.
  5.026.074 .qAAlafaʼinNNNnahaamuḥarrAmatunʻalayhim.
  5.026.075 .ʼarbaʻiinasanatayYYYyatiihuunafilʼarḍ.
  5.026.076 .falaataʼsaʻalalqAwmilfaasiqiiin.
  5.027.077 .watluʻalayhimnabaʼab*nayʼaadamabilḥaqqiʼiḏqArrAbaaqurbaanamNNNfatuqubbilaminʼaḥadihimaawalamyutaqAbbalminalʼaaḫAriqAAlalaʼaqtulanNNNnak.
  5.027.078 .qAAlalaʼaqtulanNNNnakaqAAlaʼinNNNnamaayataqAbbaluLLAAhuminalmuttaqiiin.
  5.028.079 .laʼimNNNbasaṭ*taʼilayyayadakalitaqtulaniimaaʼanaabibaasiṭiyYYYyadiyaʼilaykaliʼaqtulakaʼinNNNniiʼaḫAAfuLLAAharAbbalʻaalamiiin.
  5.029.080 .ʼinNNNniiʼuriiduʼanNNNtabuuuuuuʼabiʼiṯmiiwaʼiṯmikafatakuunaminʼaṣḥaabinNNNnaaar.
  5.029.081 .waḏaalikaǧazaaaaaaʼuẓẓAAlimiiin.
  5.030.082 .faṭAwwaʻatlahuunafsuhuuqAtlaʼaḫiihifaqAtalahufaʼaṣbaḥaminalḫAAsiriiin.
  5.031.083 .fabaʻaṯALLAAhuġurAAbayYYYyab*ḥaṯufilʼarḍiliyuriyahuukayfayuwaariisawʼataʼaḫiiih.
  5.031.084 .qAAlayaawaylataaʼaʻaǧaztuʼanʼakuunamiṯlahaaḏalġurAAbifaʼuwaariyasawʼataʼaḫiifaʼaṣbaḥaminanNNNnaadimiiin.
  5.032.085 .minʼaǧ*liḏaalikakatab*naaʻalaabaniiʼisrAAAAAAʼiilaʼanNNNnahuumanNNNqAtalanafsamNNNbiġAyrinafsinʼawfasaadimNNNfilʼarḍifakaʼanNNNnamaaqAtalanNNNnaasaǧamiiʻaa.
  5.032.086 .fakaʼanNNNnamaaqAtalanNNNnaasaǧamiiʻawWWWwamanʼaḥyaahaafakaʼanNNNnamaaʼaḥyanNNNnaasaǧamiiʻaa.
  5.032.087 .walaqAd*ǧaaaaaaʼathumrusulunaabilbayyinaatiṯumNNNmaʼinNNNnakaṯiirAmNNNminhumNNNbaʻdaḏaalikafilʼarḍilamusrifuuun.
  5.033.088 .ʼinNNNnamaaǧazaaaaaaʼullaḏiinayuḥaaribuunALLAAhawarAsuulahuuwayasʻawnafilʼarḍifasaadanʼayYYYyuqAttaluu.
  5.033.089 .ʼayYYYyuqAttaluuʼawyuṣAllabuuʼawtuqAṭṭAʻaʼaydiihimwaʼarǧuluhumNNNminḫilaafinʼawyumNNNfawminalʼarḍ.
  5.033.090 .ḏaalikalahumḫizyumNNNfiddunyaawalahumfilʼaaḫirAtiʻaḏaabunʻaẓiiim.
  5.034.091 .ʼillallaḏiinataabuuminNNNqAb*liʼanNNNtaqdiruuʻalayhimfaʻlamuuʼanNNNnALLAAhaġAfuururrAḥiiim.
  5.035.092 .yaaʼayyuhallaḏiinaʼaamanuttaquLLAAhawab*taġuuʼilayhilwasiilatawaǧaahiduufiisabiilihiilaʻallakumtufliḥuuun.
  5.036.093 .ʼinNNNnallaḏiinakafaruulawʼanNNNnalahumNNNmaafilʼarḍiǧamiiʻawWWWwamiṯlahuumaʻahuuliyaftaduubihiminʻaḏaabiyawmilqiyaamatimaatuqubbilaminhum.
  5.037.094 .maatuqubbilaminhumwalahumʻaḏaabunʼaliiim.
  5.037.095 .yuriiduunaʼayYYYyaḫruǧuuminanNNNnaariwamaahumNNNbiḫAAriǧiinaminhaawalahumʻaḏaabumNNNmuqiiim.
  5.038.096 .wassaariquwassaariqAtufaqṭAʻuuʼaydiyahumaaǧazaaaaaaʼamNNNbimaakasabaanakaalamNNNminaLLAAAh.
  5.038.097 .wALLAAhuʻaziizunḥakiiim.
  5.039.098 .famanNNNtaabamimNNNbaʻdiẓulmihiwaʼaṣlaḥafaʼinNNNnALLAAhayatuubuʻalayyyh.
  5.039.099 .ʼinNNNnALLAAhaġAfuururrAḥiiim.
  5.040.100 .ʼalamtaʻlamʼanNNNnALLAAhalahumulkussamaawaatiwalʼarḍ.
  5.040.101 .yuʻaḏḏibumayYYYyašaaaaaaʼuwayaġfirulimayYYYyašaaaaaaʼ.
  5.040.102 .wALLAAhuʻalaakullišayʼinNNNqAdiiir.
  5.041.103 .yaaʼayyuharrAsuululaayaḥzunNNNkallaḏiinayusaariʻuunafilkufriminallaḏiinaqAAluuʼaamanNNNnaabiʼafwaahihimwalamtuʼminNNNquluubuhum.
  5.041.104 .waminallaḏiinahaaduusamNNNmaaʻuunalilkaḏibisamNNNmaaʻuunaliqAwminʼaaḫAriinalamyaʼtuuk.
  5.041.105 .yuḥarrifuunalkalimamimNNNbaʻdimawaaḍiʻihiiyaquuluunaʼinʼuutiitumhaaḏaafaḫuḏuuhuwaʼillamtuʼtawhufaḥḏaruu.
  5.041.106 .wamayYYYyuridillaahufitnatahuufalanNNNtamlikalahuuminALLAAhišayʼaa.
  5.041.107 .ʼulaaaaaaʼikallaḏiinalamyuridillaahuʼayYYYyuṭAhhirAquluubahum.
  5.041.108 .lahumfiddunyaaḫizyuwWWWwalahumfilʼaaḫirAtiʻaḏaabunʻaẓiiim.
  5.042.109 .samNNNmaaʻuunalilkaḏibiʼakkaaluunalissuḥt.
  5.042.110 .faʼinNNNǧaaaaaaʼuukafaḥkumNNNbaynahumʼawʼaʻriḍʻanhum.
  5.042.111 .waʼinNNNtuʻriḍʻanhumfalayYYYyaḍurruukašayʼaa.
  5.042.112 .waʼinḥakamtafaḥkumNNNbaynahumNNNbilqisṭ.
  5.042.113 .ʼinNNNnALLAAhayuḥibbulmuq*siṭiiin.
  5.043.114 .wakayfayuḥakkimuunakawaʻinNNNdahumuttawrAAtufiihaaḥukmuLLAAh.
  5.043.115 .waʻinNNNdahumuttawrAAtufiihaaḥukmuLLAAhiṯumNNNmayatawallawnamimNNNbaʻdiḏaalik.
  5.043.116 .wamaaʼulaaaaaaʼikabilmuʼminiiin.
  5.044.117 .ʼinNNNnaaʼanNNNzalnattawrAAtafiihaahudawWWWwanuuur.
  5.044.118 .yaḥkumubihanNNNnabiyyuunallaḏiinaʼaslamuulillaḏiinahaaduuwarrAbbaaniyyuunawalʼaḥbaarubimastuḥfiẓuu.
  5.044.119 .bimastuḥfiẓuuminNNNkitaabillaahiwakaanuuʻalayhišuhadaaaaaaʼ.
  5.044.120 .falaataḫšawunNNNnaasawaḫšawniwalaataštaruubiʼaayaatiiṯamananNNNqAliilaa.
  5.044.121 .wamallamyaḥkumNNNbimaaʼanNNNzalaLLAAhufaʼulaaaaaaʼikahumulkaafiruuun.
  5.045.122 .wakatab*naaʻalayhimfiihaaʼanNNNnanNNNnafsabinNNNnafsiwalʻaynabilʻayniwalʼamNNNfabilʼamNNNfiwalʼuḏunabilʼuḏuniwassinNNNnabissinNNNn.
  5.045.123 .wassinNNNnabissinNNNniwalǧuruuḥaqiṣAAAṣ.
  5.045.124 .famanNNNtaṣAddaqAbihiifahuwakaffaarAtullah.
  5.045.125 .wamallamyaḥkumNNNbimaaʼanNNNzalaLLAAhufaʼulaaaaaaʼikahumuẓẓAAlimuuun.
  5.046.126 .waqAffaynaaʻalaaʼaaṯaarihimNNNbiʻiisab*nimaryamamuṣAddiqAllimaabaynayadayhiminattawrAAtiwaʼaataynaahulʼinNNNǧiil.
  5.046.127 .waʼaataynaahulʼinNNNǧiilafiihihudawWWWwanuuruwWWWwamuṣAddiqAllimaabaynayadayhiminattawrAAtiwahudawWWWwamawʻiẓAtallilmuttaqiiin.
  5.047.128 .walyaḥkumʼahlulʼinNNNǧiilibimaaʼanNNNzalaLLAAhufiiih.
  5.047.129 .wamallamyaḥkumNNNbimaaʼanNNNzalaLLAAhufaʼulaaaaaaʼikahumulfaasiquuun.
  5.048.130 .waʼanNNNzalnaaʼilaykalkitaababilḥaqqimuṣAddiqAllimaabaynayadayhiminalkitaabiwamuhayminanʻalayhifaḥkumNNNbaynahum.
  5.048.131 .faḥkumNNNbaynahumNNNbimaaʼanNNNzalaLLAAhuwalaatattabiʻʼahwaaaaaaʼahumʻamNNNmaaǧaaaaaaʼakaminalḥaqq*.
  5.048.132 .likullinNNNǧaʻalnaaminNNNkumširʻatawWWWwaminhaaǧaa.
  5.048.133 .walawšaaaaaaʼALLAAhulaǧaʻalakumʼumNNNmatawWWWwaaḥidatawWWWwalaakilliyab*luwakumfiimaaʼaataakumfastabiqulḫAyrAAAt.
  5.048.134 .ʼilaLLAAhimarǧiʻukumǧamiiʻamNNNfayunabbiʼukumNNNbimaakunNNNtumfiihitaḫtalifuuun.
  5.049.135 .waʼaniḥkumNNNbaynahumNNNbimaaʼanNNNzalaLLAAhuwalaatattabiʻʼahwaaaaaaʼahumwaḥḏarhum.
  5.049.136 .waḥḏarhumʼayYYYyaftinuukaʻamNNNbaʻḍimaaʼanNNNzalaLLAAhuʼilayyyk.
  5.049.137 .faʼinNNNtawallawfaʻlamʼanNNNnamaayuriiduLLAAhuʼayYYYyuṣiibahumNNNbibaʻḍiḏunuubihim.
  5.049.138 .waʼinNNNnakaṯiirAmNNNminanNNNnaasilafaasiquuun.
  5.050.139 .ʼafaḥukmalǧaahiliyyatiyab*ġuuun.
  5.050.140 .wamanʼaḥsanuminALLAAhiḥukmalliqAwmiyYYYyuuqinuuun.
  5.051.141 .yaaʼayyuhallaḏiinaʼaamanuulaatattaḫiḏulyahuudawanNNNnaṣAArAAʼawliyaaaaaaʼ.
  5.051.142 .baʻḍuhumʼawliyaaaaaaʼubaʻḍ.
  5.051.143 .wamayYYYyatawallahumNNNminNNNkumfaʼinNNNnahuuminhum.
  5.051.144 .ʼinNNNnALLAAhalaayahdilqAwmaẓẓAAlimiiin.
  5.052.145 .fatarAllaḏiinafiiquluubihimNNNmarAḍuyYYYyusaariʻuunafiihimyaquuluunanaḫšaaʼanNNNtuṣiibanaadaaaaaaʼirAh.
  5.052.146 .faʻasALLAAhuʼayYYYyaʼtiyabilfatḥiʼawʼamrimNNNminʻinNNNdihiifayuṣbiḥuuʻalaamaaʼasarruufiiʼamNNNfusihimnaadimiiin.
  5.053.147 .wayaquulullaḏiinaʼaamanuuʼahaaʼulaaaaaaʼillaḏiinaʼaq*samuubillaahiǧahdaʼaymaanihimʼinNNNnahumlamaʻakum.
  5.053.148 .ḥabiṭAtʼaʻmaaluhumfaʼaṣbaḥuuḫAAsiriiin.
  5.054.149 .yaaʼayyuhallaḏiinaʼaamanuumayYYYyartadaminNNNkumʻanNNNdiinihiifasawfayaʼtillaahubiqAwmiyYYYyuḥibbuhumwayuḥibbuunah.
  5.054.150 .fasawfayaʼtillaahubiqAwmiyYYYyuḥibbuhumwayuḥibbuunahuuʼaḏillatinʻalalmuʼminiinaʼaʻizzatinʻalalkaafiriinayuǧaahiduun.
  5.054.151 .yuǧaahiduunafiisabiilillaahiwalaayaḫAAfuunalawmatalaaaaaaʼim.
  5.054.152 .ḏaalikafaḍluLLAAhiyuʼtiihimayYYYyašaaaaaaʼ.
  5.054.153 .wALLAAhuwaasiʻunʻaliiim.
  5.055.154 .ʼinNNNnamaawaliyyukumuLLAAhuwarAsuuluhuuwallaḏiinaʼaamanullaḏiinayuqiimuunaṣṣAlaatawayuʼtuunazzakaatawahumrAAkiʻuuun.
  5.056.155 .wamayYYYyatawallaLLAAhawarAsuulahuuwallaḏiinaʼaamanuufaʼinNNNnaḥizbALLAAhihumulġAAlibuuun.
  5.057.156 .yaaʼayyuhallaḏiinaʼaamanuulaatattaḫiḏullaḏiinattaḫAḏuudiinakumhuzuwawWWWwalaʻibamNNNminallaḏiinaʼuutulkitaabaminNNNqAb*likumwalkuffaarAʼawliyaaaaaaʼ.
  5.057.157 .wattaquLLAAhaʼinNNNkunNNNtumNNNmuʼminiiin.
  5.058.158 .waʼiḏaanaadaytumʼilaṣṣAlatittaḫAḏuuhaahuzuwawWWWwalaʻibaa.
  5.058.159 .ḏaalikabiʼanNNNnahumqAwmullaayaʻqiluuun.
  5.059.160 .qulyaaʼahlalkitaabihaltanNNNqimuunaminNNNnaaʼillaaʼanʼaamanNNNnaabillaahiwamaaʼunNNNzilaʼilaynaawamaaʼunNNNzilaminNNNqAb*luwaʼanNNNnaʼakṯarAkumfaasiquuun.
  5.060.161 .qulhalʼunabbiʼukunNNNbišarrimNNNminNNNḏaalikamaṯuubatanʻinNNNdaLLAAAh.
  5.060.162 .mallaʻanahuLLAAhuwaġAḍibaʻalayhiwaǧaʻalaminhumulqirAdatawalḫAnaaziirAwaʻabadaṭṭAAġuuut.
  5.060.163 .ʼulaaaaaaʼikašarrumNNNmakaanawWWWwaʼaḍAlluʻanNNNsawaaaaaaʼissabiiil.
  5.061.164 .waʼiḏaaǧaaaaaaʼuukumqAAluuʼaamanNNNnaawaqAddaḫAluubilkufriwahumqAd*ḫArAǧuubih.
  5.061.165 .wALLAAhuʼaʻlamubimaakaanuuyaktumuuun.
  5.062.166 .watarAAkaṯiirAmNNNminhumyusaariʻuunafilʼiṯmiwalʻud*waaniwaʼaklihimussuḥt.
  5.062.167 .labiʼsamaakaanuuyaʻmaluuun.
  5.063.168 .lawlaayanhaahumurrAbbaaniyyuunawalʼaḥbaaruʻanNNNqAwlihimulʼiṯmawaʼaklihimussuḥt.
  5.063.169 .labiʼsamaakaanuuyaṣnaʻuuun.
  5.064.170 .waqAAlatilyahuuduyaduLLAAhimaġluulah.
  5.064.171 .ġullatʼaydiihimwaluʻinuubimaaqAAluu.
  5.064.172 .balyadaahumab*suuṭAtaaniyunNNNfiqukayfayašaaaaaaʼ.
  5.064.173 .walayaziidanNNNnakaṯiirAmNNNminhumNNNmaaʼunNNNzilaʼilaykamirrAbbikaṭuġyaanawWWWwakufrAA.
  5.064.174 .waʼalqAynaabaynahumulʻadaawatawalbaġḍAAAAAAʼaʼilaayawmilqiyaamah.
  5.064.175 .kullamaaʼawqAduunaarAllilḥarbiʼaṭ*faʼahaLLAAAh.
  5.064.176 .wayasʻawnafilʼarḍifasaadaa.
  5.064.177 .wALLAAhulaayuḥibbulmufsidiiin.
  5.065.178 .walawʼanNNNnaʼahlalkitaabiʼaamanuuwattaqAwlakaffarnaaʻanhumsayyiʼaatihimwalaʼad*ḫAlnaahumǧanNNNnaatinNNNnaʻiiim.
  5.066.179 .walawʼanNNNnahumʼaqAAmuttawrAAtawalʼinNNNǧiilawamaaʼunNNNzilaʼilayhimNNNmirrAbbihimlaʼakaluumimNNNfawqihimwaminNNNtaḥtiʼarǧulihim.
  5.066.180 .minhumʼumNNNmatumNNNmuqtaṣidatumwakaṯiirumNNNminhumsaaaaaaʼamaayaʻmaluuun.
  5.067.181 .yaaʼayyuharrAsuuluballiġmaaʼunNNNzilaʼilaykamirrAbbikawaʼillamtafʻalfamaaballaġtarisaalatah.
  5.067.182 .wALLAAhuyaʻṣimukaminanNNNnaaas.
  5.067.183 .ʼinNNNnALLAAhalaayahdilqAwmalkaafiriiin.
  5.068.184 .qulyaaʼahlalkitaabilastumʻalaašayʼinḥattaatuqiimuttawrAAtawalʼinNNNǧiilawamaaʼunNNNzilaʼilaykumNNNmirrAbbikum.
  5.068.185 .walayaziidanNNNnakaṯiirAmNNNminhumNNNmaaʼunNNNzilaʼilaykamirrAbbikaṭuġyaanawWWWwakufrAA.
  5.068.186 .falaataʼsaʻalalqAwmilkaafiriiin.
  5.069.187 .ʼinNNNnallaḏiinaʼaamanuuwallaḏiinahaaduuwaṣṣAAbiʼuunawanNNNnaṣAArAAmanʼaamanabillaah.
  5.069.188 .manʼaamanabillaahiwalyawmilʼaaḫiriwaʻamilaṣAAliḥamNNNfalaaḫAwfunʻalayhimwalaahumyaḥzanuuun.
  5.070.189 .laqAd*ʼaḫAḏnaamiiṯaaqAbaniiʼisrAAAAAAʼiilawaʼarsalnaaʼilayhimrusulaa.
  5.070.190 .kullamaaǧaaaaaaʼahumrAsuulumNNNbimaalaatahwaaʼamNNNfusuhumfariiqAnNNNkaḏḏabuuwafariiqAyYYYyaqtuluuun.
  5.071.191 .waḥasibuuʼallaatakuunafitnatumNNNfaʻamuuwaṣAmNNNmuuṯumNNNmataabALLAAhuʻalayhimṯumNNNmaʻamuuwaṣAmNNNmuukaṯiirumNNNminhum.
  5.071.192 .wALLAAhubaṣiirumNNNbimaayaʻmaluuun.
  5.072.193 .laqAd*kafarAllaḏiinaqAAluuʼinNNNnALLAAhahuwalmasiiḥub*numaryam.
  5.072.194 .waqAAlalmasiiḥuyaabaniiʼisrAAAAAAʼiilaʻbuduLLAAharAbbiiwarAbbakum.
  5.072.195 .ʼinNNNnahumayYYYyušrikbillaahifaqAd*ḥarrAmaLLAAhuʻalayhilǧanNNNnatawamaʼwaahunNNNnaar.
  5.072.196 .wamaaliẓẓAAlimiinaminʼanNNNṣAAAr.
  5.073.197 .laqAd*kafarAllaḏiinaqAAluuʼinNNNnALLAAhaṯaaliṯuṯalaaṯah.
  5.073.198 .wamaaminʼilaahinʼillaaʼilaahumwaaḥid.
  5.073.199 .waʼillamyanNNNtahuuʻamNNNmaayaquuluunalayamassanNNNnallaḏiinakafaruuminhumʻaḏaabunʼaliiim.
  5.074.200 .ʼafalaayatuubuunaʼilaLLAAhiwayastaġfiruunah.
  5.074.201 .wALLAAhuġAfuururrAḥiiim.
  5.075.202 .malmasiiḥub*numaryamaʼillaarAsuulunNNNqAd*ḫAlatminNNNqAb*lihirrusuluwaʼumNNNmuhuṣiddiiqAh.
  5.075.203 .waʼumNNNmuhuṣiddiiqAtunNNNkaanaayaʼkulaaniṭṭAʻaaam.
  5.075.204 .ʼunNNNẓurkayfanubayyinulahumulʼaayaatiṯumNNNmanNNNẓurʼanNNNnaayuʼfakuuun.
  5.076.205 .qulʼataʻbuduunaminNNNduunillaahimaalaayamlikulakumḍArrAwWWWwalaanafʻaa.
  5.076.206 .wALLAAhuhuwassamiiʻulʻaliiim.
  5.077.207 .qulyaaʼahlalkitaabilaataġluufiidiinikumġAyrAlḥaqqiwalaatattabiʻuuʼahwaaaaaaʼaqAwminNNNqAd*ḍAlluu.
  5.077.208 .walaatattabiʻuuʼahwaaaaaaʼaqAwminNNNqAd*ḍAlluuminNNNqAb*luwaʼaḍAlluukaṯiirAwWWWwaḍAlluuʻanNNNsawaaaaaaʼissabiiil.
  5.078.209 .luʻinallaḏiinakafaruumimNNNbaniiʼisrAAAAAAʼiilaʻalaalisaanidaawuudawaʻiisab*nimaryam.
  5.078.210 .ḏaalikabimaaʻaṣAwwakaanuuyaʻtaduuun.
  5.079.211 .kaanuulaayatanaahawnaʻamNNNmunNNNkarimNNNfaʻaluuuh.
  5.079.212 .labiʼsamaakaanuuyafʻaluuun.
  5.080.213 .tarAAkaṯiirAmNNNminhumyatawallawnallaḏiinakafaruu.
  5.080.214 .labiʼsamaaqAdamatlahumʼamNNNfusuhumʼanNNNsaḫiṭALLAAhuʻalayhimwafilʻaḏaabihumḫAAliduuun.
  5.081.215 .walawkaanuuyuʼminuunabillaahiwanNNNnabiyyiwamaaʼunNNNzilaʼilayhimattaḫAḏuuhumʼawliyaaaaaaʼawalaakinNNNn.
  5.081.216 .walaakinNNNnakaṯiirAmNNNminhumfaasiquuun.
  5.082.217 .lataǧidanNNNnaʼašadanNNNnaasiʻadaawatallillaḏiinaʼaamanulyahuudawallaḏiinaʼašrAkuu.
  5.082.218 .walataǧidanNNNnaʼaqrAbahumNNNmawadatallillaḏiinaʼaamanullaḏiinaqAAluuʼinNNNnaanaṣAArAA.
  5.082.219 .ḏaalikabiʼanNNNnaminhumqissiisiinawaruhbaanawWWWwaʼanNNNnahumlaayastakbiruuun.
  5.083.220 .waʼiḏaasamiʻuumaaʼunNNNzilaʼilarrAsuulitarAAʼaʻyunahumtafiiḍuminadamʻimimNNNmaaʻarAfuuminalḥaqqiyaquuluun.
  5.083.221 .yaquuluunarAbbanaaʼaamanNNNnaafaktub*naamaʻaššaahidiiin.
  5.084.222 .wamaalanaalaanuʼminubillaahiwamaaǧaaaaaaʼanaaminalḥaqqiwanaṭ*maʻuʼayYYYyud*ḫilanaarAbbunaamaʻalqAwmiṣṣAAliḥiiin.
  5.085.223 .faʼaṯaabahumuLLAAhubimaaqAAluuǧanNNNnaatinNNNtaǧ*riiminNNNtaḥtihalʼanhaaruḫAAlidiinafiihaa.
  5.085.224 .waḏaalikaǧazaaaaaaʼulmuḥsiniiin.
  5.086.225 .wallaḏiinakafaruuwakaḏḏabuubiʼaayaatinaaʼulaaaaaaʼikaʼaṣḥaabulǧaḥiiim.
  5.087.226 .yaaʼayyuhallaḏiinaʼaamanuulaatuḥarrimuuṭAyyibaatimaaʼaḥallaLLAAhulakumwalaataʻtaduu.
  5.087.227 .ʼinNNNnALLAAhalaayuḥibbulmuʻtadiiin.
  5.088.228 .wakuluumimNNNmaarAzaqAkumuLLAAhuḥalaalanNNNṭAyyibaa.
  5.088.229 .wattaquLLAAhallaḏiiʼanNNNtumNNNbihiimuʼminuuun.
  5.089.230 .laayuʼaaḫiḏukumuLLAAhubillaġwifiiʼaymaanikumwalaakiyYYYyuʼaaḫiḏukumNNNbimaaʻaqqAd*tumulʼaymaan.
  5.089.231 .fakaffaarAtuhuʼiṭ*ʻaamuʻašarAtimasaakiinaminʼawsaṭimaatuṭ*ʻimuunaʼahliikumawkiswatuhumʼawtaḥriirurAqAbah.
  5.089.232 .famallamyaǧid*faṣiyaamuṯalaaṯatiʼayyaaam.
  5.089.233 .ḏaalikakaffaarAtuʼaymaanikumʼiḏaaḥalaftum.
  5.089.234 .waḥfaẓuuʼaymaanakum.
  5.089.235 .kaḏaalikayubayyinuLLAAhulakumʼaayaatihiilaʻallakumtaškuruuun.
  5.090.236 .yaaʼayyuhallaḏiinaʼaamanuuʼinNNNnamalḫAmruwalmaysiruwalʼanNNNṣAAbuwalʼazlaamuriǧ*sumNNNminʻamališšayṭAAnifaǧ*tanibuuh.
  5.090.237 .faǧ*tanibuuhulaʻallakumtufliḥuuun.
  5.091.238 .ʼinNNNnamaayuriiduššayṭAAnuʼayYYYyuuqiʻabaynakumulʻadaawatawalbaġḍAAAAAAʼafilḫAmriwalmaysiriwayaṣuddakum.
  5.091.239 .wayaṣudakumʻanNNNḏikrillaahiwaʻaniṣṣAlaatifahalʼanNNNtumNNNmunNNNtahuuun.
  5.092.240 .waʼaṭiiʻuLLAAhawaʼaṭiiʻurrAsuulawaḥḏaruu.
  5.092.241 .faʼinNNNtawallaytumfaʻlamuuʼanNNNnamaaʻalaarAsuulinalbalaaġulmubiiin.
  5.093.242 .laysaʻalallaḏiinaʼaamanuuwaʻamiluṣṣAAliḥaatiǧunaaḥumNNNfiimaaṭAʻimuuʼiḏaamattaqAwwaʼaamanuu.
  5.093.243 .ʼiḏaamattaqAwwaʼaamanuuwaʻamiluṣṣAAliḥaatiṯumNNNmattaqAwwaʼaamanuuṯumNNNmattaqAwwaʼaḥsanuu.
  5.093.244 .wALLAAhuyuḥibbulmuḥsiniiin.
  5.094.245 .yaaʼayyuhallaḏiinaʼaamanuulayab*luwanNNNnakumuLLAAhubišayʼimNNNminaṣṣAyditanaaluhuuʼaydiikumwarimaaḥukum.
  5.094.246 .tanaaluhuʼaydiikumwarimaaḥukumliyaʻlamaLLAAhumayYYYyaḫAAfuhubilġAyyyb.
  5.094.247 .famaniʻtadaabaʻdaḏaalikafalahuuʻaḏaabunʼaliiim.
  5.095.248 .yaaʼayyuhallaḏiinaʼaamanuulaataqtuluṣṣAydawaʼanNNNtumḥurum.
  5.095.249 .wamanNNNqAtalahuuminNNNkumNNNmutaʻamNNNmidamNNNfaǧazaaaaaaʼumNNNmiṯlumaaqAtalaminanNNNnaʻamiyaḥkumubihiiḏawaaʻad*limNNNminNNNkum.
  5.095.250 .yaḥkumubihiḏawaaʻad*limNNNminNNNkumhad*yamNNNbaaliġAlkaʻbatiʼawkaffaarAtunNNNṭAʻaamumasaakiinaʼawʻad*luḏaalikaṣiyaamaa.
  5.095.251 .ʼawʻad*luḏaalikaṣiyaamalliyaḏuuqAwabaalaʼamrih.
  5.095.252 .ʻafALLAAhuʻamNNNmaasalafawamanʻaadafayanNNNtaqimuLLAAhuminh.
  5.095.253 .wALLAAhuʻaziizunNNNḏunNNNtiqAAAm.
  5.096.254 .ʼuḥillalakumṣAydulbaḥriwaṭAʻaamuhumataaʻallakumwalissayyaarAtiwaḥurrimaʻalaykumṣAydulbarrimaadumtumḥurumaa.
  5.096.255 .wattaquLLAAhallaḏiiʼilayhituḥšaruuun.
  5.097.256 .ǧaʻalaLLAAhulkaʻbatalbaytalḥarAAmaqiyaamallinNNNnaasiwaššahrAlḥarAAmawalhad*yawalqAlaaaaaaʼid.
